genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode
latin ska,0.04572,0.7,244973.5,0.8445,0.0,0.10575,-5.0625,0.0445,127.51700000000001,0.7755000000000001,51.0,11,1
latin soundtrack,0.6292549019607844,0.4365882352941177,208647.77450980394,0.4643261437908497,0.5251720737908497,0.13836601307189542,-11.894218954248366,0.03563921568627451,123.92915686274507,0.4937352941176471,37.578431372549026,7,0
latin talent show,0.7117179487179488,0.4962564102564104,214496.5128205128,0.3733333333333333,0.0022586338461538466,0.20136410256410256,-8.009153846153845,0.03600000000000002,127.20458974358972,0.4851025641025642,53.615384615384606,4,1
latin tech house,0.0029068078431372553,0.7638607843137256,380285.98627450975,0.8745666666666668,0.8471882352941178,0.2122611764705883,-6.326272549019611,0.05383823529411765,124.51942156862741,0.4486705882352943,1.894117647058824,2,1
latin viral pop,0.2406844727891156,0.643732993197279,230210.9574829932,0.6946513605442177,0.017714222585034016,0.16476955782312924,-7.539005102040816,0.0836202380952381,128.00896088435368,0.6360285714285714,53.08163265306122,0,1
latin worship,0.3971040194512087,0.5032973980880229,309344.5796350785,0.5417805955762988,0.022573724723710317,0.3407264898989899,-8.518492410714284,0.04097630242153682,124.40293605643488,0.35833346128697685,43.4021453373016,2,1
latino comedy,0.5761333333333333,0.544,238493.66666666663,0.7560000000000001,0.0,0.6263333333333333,-13.103333333333332,0.6503333333333333,82.60799999999998,0.4713333333333333,45.33333333333334,6,1
latintronica,0.0701,0.8,192760.0,0.685,6.22e-06,0.278,-5.841,0.0778,96.986,0.899,65.0,6,0
latinx alternative,0.16541999999999998,0.7847999999999999,219600.4,0.6107999999999999,0.1372,0.18462,-9.082,0.08230000000000001,101.0504,0.7325999999999999,54.8,11,1
latvian metal,0.11800000000000001,0.809,491816.0,0.728,0.846,0.11199999999999999,-12.454,0.0516,125.006,0.39399999999999996,0.0,9,0
latvian pop,0.795,0.267,182860.0,0.38,7.2e-05,0.0978,-10.589,0.03285,96.3045,0.2069,0.0,3,1
lds,0.7878210288065842,0.4881365432098766,225165.34403292183,0.3491064197530864,0.21803893794238688,0.12906086419753088,-12.020227983539096,0.04873251028806585,111.33712716049385,0.3010384362139917,11.70082304526749,10,1
lds youth,0.20173333333333335,0.5841333333333333,230332.83333333328,0.6045666666666667,8.744333333333334e-06,0.13288666666666665,-5.769499999999999,0.041389999999999996,120.4272333333333,0.337,59.96666666666666,6,0
lebanese indie,0.265,0.0632,202187.0,0.256,0.8590000000000001,0.10099999999999999,-21.541,0.0423,66.419,0.0426,1.0,9,1
lebanese pop,0.7188841176470587,0.4808166666666666,331464.0289215686,0.32571303921568634,0.14899671299019607,0.1974567647058824,-13.020818137254901,0.04364377450980391,105.0262568627451,0.4399857843137255,28.907843137254897,5,0
