,artists,years of career,song count
868,Clint Black,7,23
869,The Replacements,7,56
870,The Mamas & The Papas,7,67
871,John Coltrane Quartet,7,33
872,Lebrón Brothers,7,14
873,Marie Dubas,7,9
874,J.L.B. Y Cía,7,12
875,Ismael Rivera,7,28
876,Dave Van Ronk,7,37
877,Los Fabulosos Cadillacs,7,10
878,Mrinal Kanti Ghosh,7,13
879,Georges Milton,7,12
880,C. Ramchandra,7,12
881,The Drifters,7,34
882,Nobuo Uematsu,7,25
883,The Doors,7,97
884,Ana Bárbara,7,8
885,Clay Walker,7,13
886,Stratos Pagioumtzis,7,37
887,The Modern Jazz Quartet,7,50
888,Miranda Lambert,7,20
889,Tech N9ne,7,13
890,Kings of Leon,7,31
891,Death Cab for Cutie,7,25
892,Emmanuel,7,21
893,Chevelle,7,25
894,The Dramatics,7,21
895,Percy Faith & His Orchestra & Chorus,7,25
896,Keith Sweat,7,28
897,War,7,33
898,Kenny Burrell,7,29
899,Jay Chou,7,17
900,Ashok Kumar,7,14
901,Fats Domino,7,31
902,Johnny Winter,7,17
903,KC & The Sunshine Band,7,21
904,Gloria Trevi,7,21
905,David Sanborn,7,8
906,Roberto Roena Y Su Apollo Sound,7,18
907,Slipknot,7,48
908,Poison,7,35
909,Jerry Vale,7,42
910,Saxon,7,67
911,Nine Inch Nails,7,88
912,André Previn,7,24
913,"""Booker T. & the M.G.'s""",7,53
914,The Shadows,7,138
915,Los Originales De San Juan,7,19
916,Steve Earle,7,21
917,GAIA,7,17
918,Dennis Brown,7,11
919,Ben Webster,7,28
920,A Tribe Called Quest,7,62
921,Echo & the Bunnymen,7,36
922,Joan Jett & The Blackhearts,7,33
923,Don Omar,7,86
924,Steel Pulse,7,24
925,"Evelyn ""Champagne"" King",7,18
926,Óscar Medina,7,21
927,Donny Hathaway,7,36
928,"Crosby, Stills & Nash",7,56
929,Ben Gold,7,10
930,Valentín Elizalde,7,25
931,Slightly Stoopid,7,11
932,Hank Williams,7,72
933,Grupo Niche,7,27
934,J. Cole,7,48
935,10cc,7,18
936,Wiz Khalifa,7,15
937,Glenn Miller,6,55
938,Lana Del Rey,6,54
939,Anil Biswas,6,7
940,Pentatonix,6,29
941,Kraftwerk,6,35
942,Collin Raye,6,17
943,Tyrone Davis,6,15
944,Cypress Hill,6,35
945,Tropicalísimo Apache,6,16
946,Jimmie Rodgers,6,48
947,Floyd Cramer,6,23
948,Rubén Blades,6,14
949,Dinosaur Jr.,6,18
950,Wisin & Yandel,6,13
